,name,creator,history_text,alignment,past_alignment
58,angel,dark horse comic,much angel past life reveal various flashback buffy vampire slayer angel spinoff series angel bear name liam liam lead unremarkable life failure parent drunk everything change meet sire vampire darla adopt new name angelus become one notorious vampire world one day kill wrong girl gypsy girl gypsy family curse angelus soul something remove human sire weight action hit attempt continue live life darla unsuccessful however leave america generally america keep last decade homeless live rat visit demon whistler send go watch new vampire slayer buffy forbidden love endlessly plague page history literature every juliet romeo angel role buffy vampire slayer become buffys romeo forbidden true love begin role buffyverse observe young slayer fight good fight inspire action introduce friend begin help buffy numerous occasion romance soon spark two even buffy find angel vampire still interested gypsy curse burden angel soul shall lift experience one true moment complete happiness buffy angel sex second season buffy vampire slayer moment happiness occurs thus angelus murderous beast return angelus us angel relationship slayer well bring pain friend even torture watcher giles kill giles girlfriend jenny calendar kill jenny work way put soul back decedent gypsy family curse buffys friend willow find jenny work realize attempt give soul back meanwhile angelus decide destroy world buffy go stop fight willow restore soul confuse bewilder angel look buffy unsure go unfortunately angelus already open portal destroy world process stop finish angel buffy kiss angel must stab angel spend hundred year hell dimension bring back initially unknown reason due harsh environment hell dimension angel return wild feral buffy help recover state two intend sort relationship burden know never happy together without cause angelus return great angel decides would best leave town much heartache buffy angel embark supernatural adventure la spinoff series angel,good,bad
60,animal man,dc comic,late teen buddy happy hellraising punk rocker one fall afternoon go hunt adirondack mountain return home change whatever something wood connect variously refer red lifeweb morphogenetic field force bind together every living animal earth encounter escaped animal nearby zoo buddy discover presence animal able absorb special ability man animal power suggestion best friend roger denning buddy orangeandblue costume occasion black one start minor career superhero animal man partly kick partly way promote rock band buddy actually manage several heroic deed range foil robbery local pet store battle actual space alien odd crook mod gorilla bos year adventure buddy retire animal man identity marry highschool girlfriend ellen frazier baker move san diego live salary ellens work illustrator buddy newlystarted career movie stuntman couple mortgage house suburb raise two child cliff maxine buddy think superhero day change stumble ancient golden pyramid contact mysterious immortal man join hasbeen adventurer include cave carson dane dorrance dolphin encounter similar pyramid around world animal man become part organization call forgotten hero immortal man direction group able destroy pyramid save world process time group stay together oppose threat vandal savage forgotten villain worldshattering event know crisis immortal man seemingly sacrifice life soon forgotten hero disband buddy return family life although thought superheroics still nag head want make difference support family well convince still place animal man world buddy resume fulltime superhero career battle villain new mirror master delirious bwana beast also assist foil invasion earth alien alliance still not satisfied buddy make decision become protector animal life earth sabotage foxhunt england dolphin slaughter faroe island animal experiment usa work vixen overthrow government mchanga freedom beast oppose apartheid power south africa time learn scientist name james highwater power great initially believe due previously unknown contact morphogenetic field become member good standing european branch justice league international could access via teleporter basement also able draw monthly salary part jle battle queen bee time commander wrath dr irwin teasdale medium write lot popularity increase everything go way not anymore fireman accidentally kill fire start animal activist group shock buddy begin reconsider path choose though still convinced vegetarian environmentalist animal right activist ask superheroics illegal sabotage activity right way go refuse become role model quit justice league activist group attempt hang superhero costume good corporate organization worry popularity leftwing animal man threaten kill family not stop deed buddy team mirror master oppose suddenly find role hero get tangle save world second crisis hand psychopirate ultimately believe not learn fact comic book character even get meet writer grant morrison person naturally buddy not allow remember revelation long time event wake coma amnesia would return normal life not fact world wake alternate buddy baker world ellen divorce america control rightextremist corrupt government buddy control power series weird adventure buddy could finally return world movie stuntman buddy continue parttime superhero life get weird still power continue malfunction bird die fly absorb animal behavior appearance unexpectedly animal around act strange power accidentally kill every animal san diego zoo buddy family move ellens mother farm pownal vermont later reveal reason animal weirdness come hostile animal antagon aka shin man course event buddy encounter native american shaman name stone crack open earth like egg reveal buddy one group chosen people call animal master destine guardian nature together fellow animal master vixen tristess animal man able defeat shin man already corrupt possess kill bwana beast still another animal master also learn daughter maxine animal master well develop power similar settle farm vermont buddy next mission fetch back son cliff kidnap ellens insane uncle dudley look son buddy run dudleys car actually die lifeforce survive however many month live body various animal reborn hybrid animal save cliff later able recreate original body still buddy legally decease not really mind become tired city life superheroics content live peace farm reunite family fear nature would inevitably get rid vermin call human start think way make understand planet ellens mother farm become something ark refuge outcast not fit anywhere among woman name annie cassidy also stand contact red daughter lucy cassidy start relationship cliff buddy felt animal instinct take overwhelm power red buddy annie make love strengthened connection red make buddy step line adopt appearance hybrid animal fly rage washington dc plague city kind animal threaten humanity change way go end authority capture release soon partly due lot compassion many american believe animal man point annie come idea buddy want change way humanity want make difference already many follower not start cult religion buddy enraged prophet maxine savior life power church maxine though meet lot resistance authority church immediately grow popularity especially among young people ellen could not cope especially not buddy reveal kind affair annie alienate community force not understand finally break buddy least temporarily buddy maxine cliff annie lucy follower travel across state pick countless new disciple rebel animal wild caravan route dub red plague medium finally settle church montana buddy enter refer cosmic phase die reborn time whiteandblackstriped hair friend work church activity earth buddy become less aggressive make odyssey various realm search universal truth many revelation agent high power among spiritual bulldog name mister cow ultimately battle evil call spider queen buddy finally realize truth inside diamond coal substance divine human buddy well anybody else body god soul world knowledge easily defeat spider queen shortly annie give birth second daughter supposedly human incarnation world soul next time buddy appear competitive supervillain call gamesman kidnap maxine play hunting game buddy help aquaman buddy able defeat gamesman save maxine process guide temporarily blind aquaman make realize elemental connection maybe adventure spark buddy need return superhero life month later animal man appear public dress old colorful garb blond hair assist jla several occasion even help save universe battle mageddon start new millennium buddy attend party together swamp thing shade change man black orchid fringe hero together help stop come new strange world envision bernie madden also rejoin forgotten heroes join immortal man resurrection man battle vandal savage millennium creature buddy remain semiactive member forgotten hero join member need arises animal man one many hero help search murderer sue dibny recruit donna troy part team journey new cronos try help stop threat alexander luthor adventure form mentor friendship newfirestorm jason rusch along hero space go miss animal man strand paradiselike planet fellow hero starfire adam strange battle several week adam able get spaceship work depart earth ship however attack devilance encounter planet pursue space lobo appear time destroy devilance negotiation agree help battle lady styx horde animal man kill necrotoxin cause victim rise service lady styx animal man make starfire promise not let come back zombie gesture reader say look cheer u tell universe like moment death ellen still earth sense death begin cry moment starfire adam strange leave animal man space come back life alien originally grant power stand next say begin pluck timestream repair body leave outer space animal man must reach another life form order survive claim ability group suneaters include homing sense observe wife wormhole space ponder return earth stay space saw see another man put grief past buddy finally return describe marvel space delighted family ellen hold party celebrate return follower lady styx appear bent upon kill family eliminate starfire partially recover wound suffer space deliver buddys jacket faint suprise see alive leave family care,good,bad
61,annabeth chase fox,nan,annabeth seven run away home find luke castellen grover underwood thalia grace run away cyclops thalia get kill zeus turn tree save annabeth grover luke make camp halfblood year later percy jackson come camp child poseidon percy discover luke castellen work kronos percy annabeth grover go go get luke way find golden fleece save thalia,good,good
63,antman ii,marvel comic,scott lang electronics expert could not support family repair work turn talent burglary apprehend serve prison sentence parole three year good behavior lang study electronics prison soon hire stark international work design department daughter diagnose serious congenital heart condition lang seek aid surgeon dr erica sondheim believe hold prisoner cross technological enterprise desperate help daughter lang decide resort burglary break new jersey home dr henry pym lang steal antman uniform shrinking gas canister unknown pym observe theft current disguise yellowjacket follow lang curious see use would paraphernalia garb antman lang break cross discover dr sondheim indeed hold prisoner darren cross president cross technological enterprise need expertise correct heart condition rescue defeat cross lang relieve sondheim able save life daughter lange intend return antman costume owner turn henry pym aware use lang put steal good offer let keep provide put lawful use since time lang dawn antman costume various occasion assist iron man avenger law although still consider part time costume crime fighter stark international become staine international scott lange resign respect tony stark former head divide time new identity daughter antman work alongside several super hero frequently clash mercenary trainer call taskmaster aid avenger two occasion baron zemos master evil take control avenger mansion antman help defeat criminal superteam hire fantastic four electronics expert mister fantastic believe dead soon induct team feeling outclass powerful menace fantastic four face nevertheless prove variety foe gain new confidence repel possession insectoid grottu follow mister fantastics return antman join hero hire upon disbandment provide backup avenger fantastic four also date former super hero jessica jones although relationship never become serious antman subsequently invite join avenger fulltime role accept lose custody daughter exwife join time jack heart antman clash personality young hero two work together rescue cassie abductor jack seemingly perish jack briefly return control maddened scarlet witch explode incinerating antman,good,bad
64,antman mcu,marvel comic,doctor henry jonathan hank pym entomologist physicist develop antman suit discover pym particle time work shield consultant become first antman later form company pym technology pass title antman scott lang former protege darren cross replicate pym particle attempt sell technology new yellowjacket suit notorious paramilitary terrorist organization know hydra thanks recruitment lang stop cross langs successful escape quantum realm pym come term lose wife janet van dyne say realm year earlier think could alive two year later daughter hope van dyne well lang succeed bring janet back quantum realm however shortly along wife daughter erase existence thanos possession six infinity stone snap finger wipe half universes population,good,good
65,antman,marvel comic,dr henry hank pym american biochemist extensive knowledge various scientific field marry maria trovaya brave beautiful young woman political dissident native hungary flee naively believe american citizenship would protect henry maria pym travel hungary shortly marriage pyms confront agent secret police henry pym knock unconscious maria murder pym greatly distraught wifes death decide whatever could future battle injustice inhumanity back united state pym discover rare group subatomic particle become know pym particle pym able application magnetic field entrap particle within two separate serum one serum would reduce size person object would restore normal size pym test reduce serum discover powerful expect reduce size insect pym become entrap anthill pursue ant within escape restore normal size serum decide serum dangerous exist pym destroy however week later reconsider decision begin recreate serum whose existence keep secret inspire experience anthill pym undertook study ant theorize ant communicate psionic electrical wave transmit antenna month work pym succeed create first cybernetic helmet would enable communicate ant transmitting receive psionic electrical wave think someday might want use shrink potion pym also design protective costume unstable molecule steel mesh day however pym receive assignment government concoct gas would provide people temporary limited immunity radioactivity certain specific circumstance base previous work government also assign four scientist assist project kgb soviet intelligence agency learn pyms project send agent hold pym assistant prisoner laboratory pym know entire formula gas develop refuse tell soviet agent agent set search laboratory formula intend kill pym assistant afterward unseen pym cybernetic helmet protective costume use reduce formula shrank size ant escape anthill outside put large number ant control helmet use attack agent free men overpower assailant pym restore normal size afterwards guise antman pym battle various menace include comrade x protector criminal scientist elihas egghead starr become pyms great enemy well scarlet beetle hijacker alien kulla voice time master alien planet kosmos kill pyms colleague scientist vernon van dyne pym reveal secret identity antman van dyne daughter janet wish avenge death pym teach janet use gas within contain pym particle use shrink size biochemistry give ability grow insectlike wing use gas shrink insect size wasp janet van dyne assist antman find defeat murderous kosmosian pym van dyne gradually fell love van dyne remind pym decease first wife maria pym van dyne become crimefighting partner costumed identity fight menace like egghead achiltarians robot cyclops trumpetplaying criminal trago porcupine human top black knight nathan garrett two found member avenger part group discover frozen form captain america bring world war ii hero modern world,good,bad
70,aquababy,dc comic,arthur curry jr bear son atlantean king aquaman wife mera although primarily remain within aquacave atlantis also participate adventure ocean dwelling parent aquamans nemesis black manta murder aquababy suffocation bury mercy reef death child ultimately result separation aquaman wife,good,bad
71,aquagirl,dc comic,tula lose parent soon birth find adopt one royal family atlantis youth remain seclude royal home teach atlanteans way tradition young age meet garth ward king though like not see much much later venture palace meet garth aqualad teenager fell love need appreciation leave kingdom look adventure fun return homeaquagirl leave adventure boy rarely accompany usually babysat aquababy,good,bad
72,aqualad ii,dc comic,nan,good,good
73,aqualad,dc comic,garths origin similar mentor amphibious humanoid leave die ancient atlantean superstition prophecy tempest prince idyllists colony atlanteans settle hidden valley year ago nestle capital city shayeris pacifist idyllists become rabid builder collector architect artisan eschew physical violence cost idyllists also practitioner magic keep extensive library mystical text scroll approximately four decade ago king thar wife queen berra become reign monarch shayeris thar inherit throne access ancient magical energy brother zath powerful magician right believe rightfully zath practice dark sorcery necromancy raising dead eventually banish hidden valley body transform disgust half human form zath rename slizzath return shayeris twenty year later army undead plan invade hidden valley transform necropolis would rule king thar knew assemble armory robot weapon stop demented brother idylist radical kill banish pregnant wife berra back atlantis thar kill however able cast magical spell trap slizzath otherdimensional prison unfortunately spell link magical ritual would give offspring access incredible mystical power access ritual would give slizzath energy require break free prison word send baby bear purple eye idylist mark power banish kill l try perform access ritual accidentally free slizzath undead army idylists also claim thar go insane hide complex fearful plan poseidonis one domed city atlantis queen berra give birth baby boy garth bear purple eye atlanteans claim garth bear genetically inferior sentence death seabed league away atlantis secret help aquamans father atlantean sorcerer atlan young garth not survive thrive atlan teach garth language survival ritual keep young boy go feral scavenge way undersea garth develop intense fear school fish however haunt teen one found member teen titan member team many incarnation although later reservist since begin feel little help water girlfriend many year aquagirl death crisis infinite earth result grief repeat telepathic abuse mento among factor aqualad lose ability control marine life later regain power millennium event come condition command must phrase request creature perform desired action although animal apparently need little persuasion shortly zero hour garth convince aquaman come depression back action two investigate submarine fight villain name charybdis battle garth one point think spot tula distance disagree aquaman leave mentor swim dolphin garth decides investigate tula sighting not fact aquagirl sharkgirl garth capture people chain rock leave kill deadly whirlwind rescue aquamans fatheratlan transport another dimension atlan take garth grotto convergence difference dimension spend next several month yearalthough day week pass earth train garth mystical heritage prepare eventual role guardian undersea humanoid community addition magical ability garth affect water blast freeze boil energy return earth help aquaman fight invasion huntergatherers victorious leave atlan new mission atlan take garth back hidden valley battle slizzath intention conquring ocean garth adopt new name tempest confront resurrected tula die come experience old mature new confidence new uniform tempest resume role aquamans right hand man also join newly reform titan along old friend friction arise two hero aquamans lover dolphin leave tempest two since resolve differencestempest proceded get dolphin pregnant temporarily freak tempest dolphin decide get marry shortly thereafter titan come atlantis attend wedding see talk section plot twist dolphin give birth atlantis attack island nation cerdia baby kidnap ocean master orchestrate war successfully rescue war atlantis annex island garth decide name baby cerdian gesture goodwill nickname ian garth recently assume duty king atlantis aquaman abandon kingship role aquaman garth recently attack possesed aquaman tula dolphin black lantern garth fight tula dolphin stab chest die instantly aquaman leave fight mera upon death black lantern power ring fly onto finger attach bring back death possessed garth stand beside deceased wife former girlfriend adopt father part black lantern corp,good,good
74,aquaman injustice,dc comic,arthur curry also know orin atlanson bear humanatlantean hybrid simple town amnesty bay raise humble lighthouse keeper tom curry true mother atlanna queen atlantis exile son bar resemblance kordax tyrannical know blonde hair ability control aquatic life beyond burden arthur live simple life learn origin atlanna deathbed inspire go explore root deep sea prove atlanteans wrong supposed resemblance oncenotorious villain thus begin seafaring adventure aquaman would become king atlantis loving husband father family also credit founding member justice league america,good,bad
